#     x        y        z     r_vir   v_x      v_y      v_z 
#-----------------------------------------------------------
#    kpc      kpc      kpc     kpc    km/s     km/s     km/s
#-----------------------------------------------------------
   -419.24   383.53  -980.14   12.   -85.1     91.2  -387.80
   -405.57    40.91 -1089.74   13.   -87.1     36.2  -383.40
   -412.21   870.79    87.44   15.  -212.7    331.2    16.50
   -401.80   168.83 -1132.09   18.  -116.6     25.7  -333.30
   -367.36  1257.36     6.64   14.  -169.3    479.6   -12.90
   -351.09   111.29  -118.00   13.  -126.0     30.6  -123.30
   -357.91   182.95  -790.43   14.  -104.1     65.1  -343.60
   -355.01   210.32 -1102.65   13.  -107.1     55.7  -354.30
   -347.71  -144.84  -299.23   13.  -157.4     -5.0  -140.00
   -349.51   372.08  -977.55   31.   -96.4     97.6  -359.00
   -328.39  -912.06  -424.05   15.   -96.9   -292.1  -146.50
   -324.00   -85.56  -993.25   27.   -87.2     29.3  -366.90
   -308.23  -786.48  -561.99   19.  -141.6   -244.2  -168.70
   -312.13   -64.54 -1044.57   16.  -126.7     58.4  -287.50
   -302.55   -69.03  -990.37   17.  -145.5    -17.4  -420.60
   -295.68   305.82  -959.85   13.  -111.2    109.0  -391.70
   -289.66   -47.76  -980.17   18.  -159.7    -32.2  -415.30
   -281.25   422.96  -971.34   21.  -153.8     60.6  -398.90
   -268.61  -226.40  -734.33   13.  -116.5    -61.3  -301.30
   -264.09   252.80  -939.49   12.   -95.0     85.6  -416.60
   -262.60  -206.34  -748.68   14.  -123.4    -86.7  -294.60
   -259.52   403.38 -1172.27   15.   -86.6    135.7  -372.50
   -252.26  -527.61  -426.38   13.   -69.9   -195.4  -247.70
   -227.04   521.93   -72.75   11.   -86.9    143.8   -79.70
   -217.21  -533.18  -471.17   27.   -75.3   -179.8  -193.60
   -201.79  -712.34  -491.38   14.  -120.7   -235.6  -161.20
   -196.88  -382.76  -413.86   16.  -105.4   -220.5  -188.40
   -194.63   395.60  -174.75   15.   -94.5    101.0   -34.50
   -202.62   406.78  -149.49   23.   -77.3    116.9  -122.20
   -186.08  -419.84  -435.57   16.  -130.8   -163.8  -183.00
   -193.13    39.76 -1115.16   18.   -40.9     83.6  -313.30
   -187.35   188.32  -995.22   21.  -124.8     43.9  -398.00
   -188.79   292.08 -1159.55   17.   -69.7     82.6  -358.90
   -177.89   101.83 -1087.51   32.   -93.9     25.9  -386.40
   -181.62   894.76  1224.79   29.   -52.0    361.3   456.90
   -158.07  -511.08  -486.37   21.  -136.5   -211.7  -186.00
   -147.82    86.50 -1120.99   19.   -85.2    122.5  -351.90
   -135.54  1427.77  -493.25   22.   -56.4    526.2  -180.10
   -129.34    76.99 -1139.84   21.  -141.3     70.5  -343.10
    -86.69 -1378.88   604.25   19.   -18.7   -504.3   220.20
    -91.97   854.96  -939.89   13.    -4.9    323.1  -355.00
    -80.99  -988.66   709.92   17.     8.3   -348.2   241.00
    -78.28  -899.14   720.42   10.     1.6   -364.4   265.50
    -68.47   995.21  -836.09   14.    -7.2    364.0  -356.30
    -50.15  -584.23  -501.80   23.  -114.1   -193.6  -156.40
    -42.09 -1437.06   366.19   14.   -19.2   -508.3   112.10
    -33.77 -1431.56   269.76   17.    -8.5   -492.9   121.80
    -37.66 -1289.35   255.81   24.     4.6   -505.1    86.50
    -22.75  1412.32  -322.33   16.   -40.2    530.6  -147.70
    -17.93   666.99 -1198.38   13.    37.6    233.2  -408.80
     12.61 -1027.56   546.88   16.    -0.4   -391.9   213.70
      4.95    61.28 -1202.82   19.   -74.4     27.8  -412.10
     26.90    -2.08   -69.95   25.     0.6      0.4   -91.80
     31.34 -1242.40   422.34   14.    32.7   -466.0   167.60
     31.67  -830.31   783.21   13.   -11.9   -327.9   310.60
     33.98   589.90 -1251.42   18.    -0.9    203.8  -432.90
     39.68 -1256.99   605.28   22.    15.5   -467.5   208.50
     40.58 -1054.96  -226.63   14.    45.1   -402.5   -72.80
     42.13   952.43  -993.50   16.    85.8    313.8  -291.60
     37.90   964.58  -969.38   19.    62.4    359.7  -356.60
     40.97  1201.82  -339.66   16.   -16.0    456.5  -173.00
     55.08   986.89  -945.39   21.    45.4    324.8  -391.50
     60.67   282.48  -258.70   14.    -7.0     87.8  -167.70
     67.27     5.25  -138.66   27.   -26.0      9.8   -30.60
     99.76 -1075.29  -213.51   20.    65.5   -424.2   -84.40
    103.78  1131.94   957.97   35.    66.9    394.5   379.20
    106.38   941.10 -1020.28   16.    60.1    320.0  -317.80
    142.64 -1022.60   363.73   15.    60.1   -411.4   118.40
    146.97 -1102.90  -204.48   22.    32.4   -381.6   -46.70
    150.58   639.07 -1049.21   13.    37.6    246.5  -384.70
    153.25  1107.19   960.19   17.     3.7    515.7   387.30
    169.04 -1013.45   329.98   14.    49.0   -402.6   112.10
    178.41  -701.98  1005.47   12.    97.1   -241.4   390.20
    178.91   303.84  -479.06   39.    77.5    113.7  -175.30
    181.34   371.27  -516.65   13.    87.6      3.6  -158.20
    196.73   947.00 -1005.17   31.    62.4    326.8  -335.50
    224.25  -656.01  1078.24   16.   122.3   -200.4   425.00
    221.57   505.06 -1357.95   13.    71.8    187.7  -462.50
    234.88  -344.21   218.63   18.   127.0   -143.0    64.10
    268.97  1188.35  -801.67   20.    99.5    423.8  -308.30
    285.60  -907.89   156.99   24.   122.7   -335.9    52.50
    279.14    85.08   237.03   21.   135.7    -18.5    38.60
    292.46  -545.89  1134.97   33.   118.5   -246.8   421.00
    305.39   704.01  -330.64   12.   114.3    215.1  -174.10
    312.63  -449.25   990.26   27.   127.9   -202.2   413.70
    313.56  1236.17  -775.95   16.    82.3    414.4  -321.30
    317.53  -411.25   916.91   14.   141.4   -185.1   371.70
    320.09  -372.45   822.13   26.   145.4   -179.9   331.90
    326.54  -625.34  1021.89   12.    96.5   -212.2   449.10
    331.57   475.98 -1304.07   14.   113.3    189.5  -463.70
    336.16   925.30 -1002.58   14.    88.0    356.4  -331.80
    328.01  1103.33   971.05   22.    80.5    452.8   379.10
    366.28   111.00  -856.50   15.   105.0     86.8  -299.50
    367.61   118.78  -809.95   13.   122.7     83.0  -293.40
    373.56   772.22   906.30   18.   158.6    308.8   355.10
    380.42 -1283.35   390.27   15.   123.8   -485.8   151.60
    386.93    39.99  1147.71   15.   176.8     26.1   437.30
    388.16 -1246.71   670.81   13.   111.8   -487.9   212.60
    407.69  -681.39   203.87   14.   183.8   -251.9    45.50
    415.58 -1394.84   325.64   13.   163.2   -480.6   136.80
    417.33  -336.93   353.00   21.   232.9   -112.3   126.40
    422.00    40.18   138.18   17.   168.8    -25.0    18.60
    419.65   149.10  1147.84   14.   196.0     65.2   431.80
    425.38   -79.12   226.85   16.   176.0    -72.0    67.40
    438.87  -298.04 -1273.98   14.   167.9    -72.2  -507.50
    444.50   812.83   898.75   12.   156.3    318.4   369.70
    456.64   242.93  1130.92   13.   214.4     90.9   439.30
    449.78   495.25   900.69   17.   177.6    218.8   330.30
    464.73   244.51  -307.71   14.   172.7     89.5  -147.10
    464.49  -127.70   257.31   13.   187.8    -58.6    92.10
    485.48   413.03  -436.21   15.   201.8    125.7  -184.30
    483.14  1001.19   955.80   14.   167.5    381.1   400.50
    481.16  -309.06   387.07   21.   198.0   -187.3   126.10
    497.94   258.91  -626.87   13.   185.3    134.9  -188.10
    487.65   952.45  -880.49   14.   195.3    351.8  -313.10
    507.75   944.60  -874.73   15.   158.8    371.8  -318.00
    521.62     8.89   666.54   13.   204.5    -11.2   244.90
    516.99   390.39 -1025.04   12.   216.2    172.0  -358.20
    534.64  -885.32    40.57   13.   201.6   -325.5    39.20
    533.44   355.42  -391.41   19.   196.5    111.6  -211.40
    540.53  -366.05   385.55   19.   166.1    -97.5    79.00
    537.68   473.08  -437.27   24.   182.2    125.2  -229.40
    553.63  -376.87   359.77   16.   192.8    -94.8   109.20
    550.11   992.40  -839.94   14.   217.9    332.5  -326.00
    567.82 -1382.98   248.86   14.   254.7   -467.4   107.30
    576.36  -405.84   317.44   17.   189.5   -102.7    96.30
    587.97  1020.77  -827.43   14.   184.4    344.3  -321.60
    590.49  1048.60  -829.27   13.   201.5    318.1  -286.80
    606.96  -409.63   300.63   13.   160.6   -107.4    85.00
    625.39   128.94   824.97   17.   229.3     34.9   308.70
    629.82 -1356.44   237.83   17.   250.7   -495.8    78.50
    629.83   -87.68 -1278.25   20.   225.7      5.4  -501.10
    640.53   -63.75 -1336.68   13.   245.0      7.2  -453.90
    650.90 -1243.97  -497.42   13.   262.2   -496.0  -159.90
    651.14   376.47  -496.47   16.   227.1    129.0  -182.70
    663.46  -982.54    44.37   14.   265.7   -356.2    17.90
    673.62   447.26 -1001.03   15.   302.8    147.9  -310.30
    694.51   504.91  -801.81   18.   254.3    159.8  -291.20
    693.63   411.99  -947.09   14.   291.2    174.4  -326.30
    711.25   407.43  -930.54   18.   258.5    174.6  -337.50
    707.00   466.03 -1009.77   19.   243.3    164.1  -307.90
    720.97 -1316.67   147.03   19.   270.8   -483.5    32.50
    731.89  -259.40   -44.62   16.   365.6    -84.1    -7.30
    741.76   172.17  -291.84   12.   278.2     31.5  -126.50
    740.23   376.19  -891.28   19.   249.9    197.0  -341.50
    749.79 -1271.56    59.04   16.   327.2   -437.1    29.70
    754.62   213.33  -507.44   14.   295.8    134.6  -175.90
